idx,loc_time,roc_time
1,951.5473559474834,18983.838823007893
2,869.8594293925393,13055.53876809443
3,869.4688356793416,14039.999999999913
4,2342.837071380436,12599.999999999998
5,768.821503672541,9989.999999999998
6,1190.59281967813,17840.56199316636
7,843.1402953505012,13034.329153824872
8,846.3833767105889,8160.234524083268
9,2522.455873159159,20759.999999999996
10,869.3101740436753,12348.60273857002
11,481.76479885689463,8844.78055007654
12,442.5280856454911,11999.999999999998
13,877.9060698258972,12089.254879916485
14,1297.787913587254,13844.169799360923
15,1118.259816541551,10169.999999999998
16,889.2352380413323,11317.524736128937
